session_id,scenario_id,harmony_version,direction,data_provenance,synthetic,generation_seed,template_session_id_used,validation_status,generation_rationale,validation_notes
SYNTH_KB01_V1_3432_FWD,KB01,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"Standard OUT->IN handover, no special condition; single clean VPS attempt reusing the version's own real per-version distributions and this template trial's real outdoor/indoor geometry in original order.",
SYNTH_KB04_V1_8534_FWD,KB04,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"Attempt 1 (StartingVps) never reaches Scanning at all -- represents an obstructed/misdirected first scan getting no valid frame -- abandoned after ~2.2s; attempt 2 is a normal clean retry that succeeds. Overall handover_success=1 per the pipeline's own multi-attempt detection logic (a later successful attempt overrides an earlier unresolved one), with elevated total latency reflecting the retry.",
SYNTH_KB07_V1_3545_FWD,KB07,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"A poor/poor/ONE-brief-good-frame/poor/poor confidence pattern (never sustained) is logged first via existing quality_threshold_passed/failed events and vps_confidence/vps_dwell_gate_passed sample columns, followed by a dwell_reset; only after confidence is then held continuously above minimumVpsConfidence for >= this version's own real vpsDwellSeconds does dwell_passed fire and vps_state->IndoorLocalized accept.",
SYNTH_KB08_V1_7591_FWD,KB08,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"Clean single-attempt success, but the accepted VPS pose is set to this template trial's own real FARTHEST indoor coordinate (rather than the entrance-adjacent one KB01 uses) -- a genuinely larger real position/heading delta across the handover boundary, not an invented jump magnitude.",
SYNTH_KB21_V1_9203_FWD,KB21,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"Identical structure to KB01, but every phase uses this version's own real 5th-percentile (fastest observed) inter-sample interval instead of the median -- a real, previously-measured cadence, not an invented speed field -- so the same real distance is covered in less elapsed time.",
SYNTH_KB28_V1_9871_FWD,KB28,V1,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID_WITH_WARNINGS,"Handover clock starts normally (reliability_state->VpsScanning) and vps_state->StartingVps fires, but no Scanning/IndoorLocalized/fallback event ever occurs before reliability_state reverts VpsScanning->OutdoorGps ~2-4s later (matching the real ~2-4s 'navigation cancelled during entry' flicker already observed in 11 real trials, here made the trial's terminal outcome instead of a transient blip). Per the pipeline's own detect_handover logic this yields evaluable=False (NOT_EVALUABLE, reason='VPS attempt started but neither succeeded nor timed out'), so it is correctly EXCLUDED from the HSR/FHR denominator rather than counted as an ordinary failure.","[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled."
SYNTH_KB01_V2_6790_FWD,KB01,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"Standard OUT->IN handover, no special condition; single clean VPS attempt reusing the version's own real per-version distributions and this template trial's real outdoor/indoor geometry in original order.",
SYNTH_KB04_V2_7770_FWD,KB04,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"Attempt 1 (StartingVps) never reaches Scanning at all -- represents an obstructed/misdirected first scan getting no valid frame -- abandoned after ~2.2s; attempt 2 is a normal clean retry that succeeds. Overall handover_success=1 per the pipeline's own multi-attempt detection logic (a later successful attempt overrides an earlier unresolved one), with elevated total latency reflecting the retry.",
SYNTH_KB07_V2_1612_FWD,KB07,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"A poor/poor/ONE-brief-good-frame/poor/poor confidence pattern (never sustained) is logged first via existing quality_threshold_passed/failed events and vps_confidence/vps_dwell_gate_passed sample columns, followed by a dwell_reset; only after confidence is then held continuously above minimumVpsConfidence for >= this version's own real vpsDwellSeconds does dwell_passed fire and vps_state->IndoorLocalized accept.",
SYNTH_KB08_V2_4393_FWD,KB08,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"Clean single-attempt success, but the accepted VPS pose is set to this template trial's own real FARTHEST indoor coordinate (rather than the entrance-adjacent one KB01 uses) -- a genuinely larger real position/heading delta across the handover boundary, not an invented jump magnitude.",
