session_id,scenario_id,harmony_version,data_provenance,synthetic,generation_seed,template_session_id_used,validation_status,grounding_strength
SYNTH_KB09_V1_3432_FWD,KB09,V1,SYNTHETIC_SUPPORT,1,20260920,20260911_081410_344_V1_GPS_TO_VPS_NORMAL_DEV_2379,VALID,STRONG (reuses a real per-version NONE-direction trial's own path in original order; identical construction rigor to step6's KB01)
SYNTH_KB12_V1_8534_FWD,KB12,V1,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"WEAK (structural placeholder): gps_accuracy_m during the outdoor approach is forced to this dataset's own real worst-ever-recorded value (24.873m, from a real V1 trial) as a stand-in for rain -- the magnitude is real, but its attribution to 'rain' specifically is NOT measured anywhere in this dataset."
SYNTH_KB13_V1_3545_FWD,KB13,V1,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"WEAK (structural placeholder): VPS confidence during scanning is held at this version's own real minimumVpsConfidence config threshold (a real, already-established per-version value) as a stand-in for glare-degraded scanning -- the threshold is real, its attribution to 'glare' is NOT measured."
SYNTH_KB15_V1_7591_FWD,KB15,V1,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"WEAK (structural placeholder): two vps_valid=0 dropout episodes use the existing recovery_count column, which is NEVER >0 anywhere in the real 105-trial dataset -- this exercises a defined-but-never-observed mechanism, not a measured crowd-occlusion effect."
SYNTH_KB23_V1_9203_FWD,KB23,V1,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"WEAK (structural placeholder): one vps_valid=0 dropout episode, same never-observed recovery_count mechanism as KB15, distinguished from it only by being a single (not recurring) episode per the scenario definition."
SYNTH_KB26_V1_9871_FWD,KB26,V1,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"MODERATE: wrong_way_count=1 is this dataset's own real maximum ever recorded (105 real trials, max=1, mean=0.0095) and cadence is slowed -- both real-anchored, but 'help_request'/'trust' measures are NOT_REPRESENTED (no such column exists)."
SYNTH_KB27_V1_6790_FWD,KB27,V1,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24,VALID,"MODERATE: wrong_way_count=0 (the real mode/median) and this version's own real fastest-observed cadence (same technique as KB21) -- both real-anchored, but the AR-on/off comparison arm is NOT_REPRESENTED (no such column or comparison condition exists)."
SYNTH_KB29_V1_7770_FWD,KB29,V1,SYNTHETIC_SUPPORT,1,20260920,20260906_073558_794_V1_GPS_TO_VPS_NORMAL_DEV_7E24+20260915_041512_690_V1_GPS_TO_VPS_NORMAL_DEV_858E,VALID,"STRONG structurally / per-segment: each of the 3 segments (OUT->IN, IN->OUT, OUT->IN) reuses the exact same real-per-version-distribution construction as step6's KB01 and step4's KB02 reverse segment, just chained in one continuous session. Per config.yaml, 'MULTI_HANDOVER' has no direction entry, so the pipeline's own detect_handover correctly returns evaluable=False for this trial -- exactly as spec Section 9 requires (excluded from HSR/FHR denominators), which is why handover_attempts_evaluable=0 in the summary even though 2 handovers structurally occurred."
SYNTH_KB09_V2_1612_FWD,KB09,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_080545_351_V2_GPS_TO_VPS_NORMAL_DEV_5138,VALID,STRONG (reuses a real per-version NONE-direction trial's own path in original order; identical construction rigor to step6's KB01)
SYNTH_KB12_V2_4393_FWD,KB12,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"WEAK (structural placeholder): gps_accuracy_m during the outdoor approach is forced to this dataset's own real worst-ever-recorded value (24.873m, from a real V1 trial) as a stand-in for rain -- the magnitude is real, but its attribution to 'rain' specifically is NOT measured anywhere in this dataset."
SYNTH_KB13_V2_3348_FWD,KB13,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"WEAK (structural placeholder): VPS confidence during scanning is held at this version's own real minimumVpsConfidence config threshold (a real, already-established per-version value) as a stand-in for glare-degraded scanning -- the threshold is real, its attribution to 'glare' is NOT measured."
