candidate_scenario_id,physical_folder_exists_current,physical_folder_exists_pristine_backup,physical_folder_exists_first_git_commit,internal_scenario_id_match_count,current_scenario_id_on_file,match_confidence,matching_evidence
KB01,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB04,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB07,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB08,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB12,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB13,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB15,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB21,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB23,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB26,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB27,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"No column in this dataset's schema encodes the distinguishing condition this scenario requires (weather/rain/glare, crowd/occlusion, camera obstruction, user novice-vs-experienced status, or walking-speed condition are not logged anywhere in summary_*.csv, events_*.csv, or samples_*.csv - checked destination, final_state, end_reason, harmony_profile, note, and event columns across all 105 real trial files). No behavioral proxy for this scenario's defining condition was found in any trial regardless of its current scenario_id."
KB28,False,False,False,0,"NONE - no real trial anywhere (any folder, any version) carries this scenario_id internally or externally",none,"Closest textual candidate checked: the note 'navigation cancelled during entry' appears in 11 real trials (scenario_ids: ['KB03', 'KB05', 'KB14', 'KB16', 'KB17', 'KB30']). Inspected in detail: this is a transient boundary-crossing false-start that occurs WITHIN otherwise-normal trials which go on to complete the handover successfully seconds later (e.g. session ...FAAF: cancel note at t=4.51s, handover_success=1, completed=1 at t=38s). It reflects routine GPS/PDR boundary noise already covered by those trials' own scenario_id, not a genuine persistent approach-then-abandon-without-IN-transition pattern as KB28 specifies. No trial exists where the FSM returns to OUT and the trial ends there (all trials containing this note reach completed=1)."
